name,creation_date,last_update,musical_instruments_category_name
Guitarra,,,Cuerda
Violin,,,Cuerda
Violonchelo,,,Cuerda
Contrabajo,,,Cuerda
Piano,,,Cuerda
Clavicordio,,,Cuerda
Teclado,,,Cuerda
Bajo,,,Cuerda
Arpa,,,Cuerda
Citara,,,Cuerda
Mandolina,,,Cuerda
Steel Guitar,,,Cuerda
Laud,,,Cuerda
Bombardino,,,Viento
Tuba,,,Viento
Trompa,,,Viento
Clarinete,,,Viento
Flauta,,,Viento
Oboe,,,Viento
Corneta,,,Viento
Trompeta,,,Viento
Contrafagot,,,Viento
Fagot,,,Viento
Gaita,,,Viento
Bongo,,,Percusión
Tambor,,,Percusión
Bombo,,,Percusión
Bateria,,,Percusión
Zambomba,,,Percusión
Gong,,,Percusión
Pandereta,,,Percusión