name,country
Álava,España
A Coruña,España
Alicante,España
Albacete,España
Almería,España
Asturias,España
Ávila,España
Badajoz,España
Barcelona,España
Bizkaia,España
Burgos,España
Cáceres,España
Cádiz,España
Cantabria,España
Castellón,España
Ceuta,España
Ciudad Real,España
Córdoba,España
Cuenca,España
Gipuzkoa,España
Girona,España
Granada,España
Guadalajara,España
Huelva,España
Huesca,España
Islas Baleares,España
Jaén,España
La Rioja,España
Las Palmas,España
León,España
Lleida,España
Lugo,España
Madrid,España
Málaga,España
Melilla,España
Murcia,España
Navarra,España
Ourense,España
Palencia,España
Pontevedra,España
Salamanca,España
Segovia,España
Sevilla,España
Soria,España
Sta. Cruz de Tenerife,España
Tarragona,España
Teruel,España
Toledo,España
Valéncia,España
Valladolid,España
Zamora,España
Zaragoza,España